restaurantLabel,cityLabel,stateLabel
Planet Pizza_Greenwood Lake,Greenwood Lake,New_York_(state)
Nicks Pizza_Deerfield Beach,Deerfield Beach,Florida
Caps Island Grille_Jensen Beach,Jensen Beach,Florida
Librettos Pizzeria_Charlotte,Charlotte,North_Carolina
Mama''s Pizza_Alpharetta,Alpharetta,Georgia_(U.S._state)
Nick''s Pizza Ristorante_Costa Mesa,Costa Mesa,California
Sir Pizza_La Vergne,La Vergne,Tennessee
Dinos Pizza and Pasta_Harrisburg,Harrisburg,North_Carolina
Vintage Pizzeria_Atlanta,Atlanta,Georgia_(U.S._state)
Franks Original Pizza Italia_Bronx,Bronx,New_York_(state)
Elegante Market_Orlando,Orlando,Florida
Drexel Pizza_Philadelphia,Philadelphia,Pennsylvania
Anthony''s Coal Fired Pizza_Horsham,Horsham,Pennsylvania
Johnnys Pizza Cascade_Atlanta,Atlanta,Georgia_(U.S._state)
Lovers Pizza Pasta_Dallas,Dallas,Texas
Olivetto''s_Franklin Square,Franklin Square,New_York_(state)
Palermos Pizza 2_Avondale,Avondale,Arizona
Palermos Pizza 2_Avondale,Avondale,Pennsylvania
Fascati Pizza_Brooklyn,Brooklyn,New_York_(state)
Rosatis Pizza_Elk Grove Village,Elk Grove Village,Illinois
J V Pizzeria_Brooklyn,Brooklyn,New_York_(state)
Sir Pizza_Nashville,Nashville,Tennessee
Stavros Pizza_New Smyrna Beach,New Smyrna Beach,Florida
Veltre''s Pizza &amp; Sandwiches_Oakmont,Oakmont,Pennsylvania
Specialty Pizza Express_Altamonte Springs,Altamonte Springs,Florida
Pietro''s Pizza_East Meadow,East Meadow,New_York_(state)
Mario''s NY Style Pizzeria_Tulsa,Tulsa,Oklahoma
Cusato''s Pizzeria &amp; Deli_Schenectady,Schenectady,New_York_(state)
brooklyn pizza_Fulton,Fulton,Missouri
Bibo''s NY Pizza_San Jose,San Jose,California
Fellini''s Pizza_Atlanta,Atlanta,Georgia_(U.S._state)
Anthony''s Coal Fired Pizza_Fort Lauderdale,Fort Lauderdale,Florida
Ny Pizza and Pasta_Indian Trail,Indian Trail,North_Carolina
Patsy''s Pizzeria_New York,New York,New_York_(state)
Mama Tinas Pizza_New York,New York,New_York_(state)
Mikes Pizzeria_Forest Hills,Forest Hills,New_York_(state)
Bella Bambinas Restaurant_Oakdale,Oakdale,New_York_(state)
Sal''s Pizzeria_Bronx,Bronx,New_York_(state)
